id,summary,is_stem_ground_truth,is_stem_llm,tfidf_label,tfidf_prob,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Objective,emotion_vector
9781429205191,"Discovering the Universe is the bestselling brief text for descriptive one-term astronomy courses (especially those with no mathematics prerequisites). Carried along by the book's vibrant main theme, ""the process of scientific discovery,"" the Eighth Edition furthers the book’s legacy for presenting concepts clearly and accurately while providing all the pedagogical tools to make the learning process memorable.",True,1,STEM,0.6861848307616808,0.0061704045982193,0.051983545587738,0.0,0.0220331342274315,0.0778485292460273,0.0114391975656485,0.0184830384311957,0.1358334272512115,0.676208723092528,"{'Anger': 0.0061704045982193, 'Anticipation': 0.051983545587738, 'Disgust': 0.0, 'Fear': 0.0220331342274315, 'Joy': 0.0778485292460273, 'Sadness': 0.0114391975656485, 'Surprise': 0.0184830384311957, 'Trust': 0.1358334272512115}"
978-0-13-285458-0,"TIPERs: Sensemaking Tasks for Introductory Physics gives introductory physics students the type of practice they need to promote a conceptual understanding of problem solving. This supplementary text helps students to connect the physical rules of the universe with the mathematical tools used to express them. The exercises in this workbook are intended to promote sensemaking. The various formats of the questions are difficult to solve just by using physics equations as formulas. Students will need to develop a solid qualitative understanding of the concepts, principles, and relationships in physics. In addition, they will have to decide what is relevant and what isn't, which equations apply and which don't, and what the equations tell one about physical situations. The goal is that when students are given a physics problem where they are asked solve for an unknown quantity, they will understand the physics of the problem in addition to finding the answer.",True,1,STEM,0.693015052397553,0.0148465399695327,0.0547286666833154,0.0099393152361211,0.0385835227130834,0.0523811902205129,0.0195290063182079,0.0148215668156731,0.1208950378343281,0.6742751542092251,"{'Anger': 0.0148465399695327, 'Anticipation': 0.0547286666833154, 'Disgust': 0.0099393152361211, 'Fear': 0.0385835227130834, 'Joy': 0.0523811902205129, 'Sadness': 0.0195290063182079, 'Surprise': 0.0148215668156731, 'Trust': 0.1208950378343281}"
9781435447530,"Written with a visual appeal and engaging approach, AEROSPACE ENGINEERING provides an overview of the broad range of science, technology, engineering and mathematics (STEM) applications in aerospace engineering. An extensive overview of the history of aviation and technological innovations aid students in seeing the progression of aerospace technology. The use of case studies and real world examples further supports students' understanding and application of STEM to aerospace engineering. Real world connections combined with narratives make the technical material easier to comprehend. The book includes a complete glossary of all related aerospace terminology as well as firsthand accounts of aerospace professionals in their chosen career along with career opportunities. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",True,1,STEM,0.6850311857651531,0.0,0.0603527980535279,0.0,0.0190632603406326,0.0302311435523114,0.0052189781021897,0.0,0.1430413625304136,0.7420924574209248,"{'Anger': 0.0, 'Anticipation': 0.0603527980535279, 'Disgust': 0.0, 'Fear': 0.0190632603406326, 'Joy': 0.0302311435523114, 'Sadness': 0.0052189781021897, 'Surprise': 0.0, 'Trust': 0.1430413625304136}"
978-1-4390-6000-1,"DIGITAL ELECTRONICS offers a comprehensive, computer-supported introduction to digital electronics, from basic electrical theory and digital logic to hands-on, high-tech applications. Designed to support Project Lead the Way's (PLTW) innovative Digital Electronics (DE) curriculum, this dynamic text prepares students for college and career success in STEM (Science, Technology, Engineering, and Math). The text introduces core concepts such as electrical shop practices and electrical theory, enables students to gain confidence by exploring key principles and applying their knowledge, and helps develop sophisticated skills in circuit analysis, design, and troubleshooting. Many of the text's abundant examples and exercises support the use of Multisim, allowing students to visualize and analyze circuits including combinational and sequential circuits before constructing them. In addition, a variety of proven learning tools make mastering the material easier, including self-check problems in every chapter, Bring it Home questions to solidify core concepts, and challenging Extra Mile problems to help students deepen their understanding and hone their skills. As an integrated part of your PLTW program or a stand-alone classroom resource, DIGITAL ELECTRONICS is an ideal choice to support your students' STEM success. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",True,1,STEM,0.7290259980796556,0.0071846028434447,0.0649792061013857,0.0,0.0257333130690689,0.0538361634220815,0.0077787142324219,0.0106801884576591,0.1320723434240159,0.6977354684499218,"{'Anger': 0.0071846028434447, 'Anticipation': 0.0649792061013857, 'Disgust': 0.0, 'Fear': 0.0257333130690689, 'Joy': 0.0538361634220815, 'Sadness': 0.0077787142324219, 'Surprise': 0.0106801884576591, 'Trust': 0.1320723434240159}"
978-1-133-61110-3,"""Steven and Susan Zumdahl's CHEMISTRY 8e brings together the solid pedagogy, easy-to-use media, and interactive exercises that today's instructors need for their general chemistry course. Rather than rote memorization, CHEMISTRY emphasizes a thoughtful approach built on problem-solving. For the Eighth Edition, the authors have extended this approach by emphasizing problem-solving strategies within the Examples and throughout the text narrative. The text speaks directly to the student about how to approach and solve chemical problems--to learn to think like a chemist--so that they can apply the process of problem-solving to all aspects of their lives. Students are provided with the tools to become critical thinkers: to ask questions, to apply rules and develop models, and to evaluate the outcome.""--pub. desc.",True,1,STEM,0.6786247269841236,0.0119487908961593,0.082275960170697,0.0068847795163584,0.0320341394025604,0.0296443812233285,0.0340398293029872,0.0024466571834992,0.1179374110953058,0.6827880512091038,"{'Anger': 0.0119487908961593, 'Anticipation': 0.082275960170697, 'Disgust': 0.0068847795163584, 'Fear': 0.0320341394025604, 'Joy': 0.0296443812233285, 'Sadness': 0.0340398293029872, 'Surprise': 0.0024466571834992, 'Trust': 0.1179374110953058}"
9781464142314,"Designed to help all students to learn real chemistry, Living By Chemistry is a full-year high school curriculum that incorporates science practices with a guided-inquiry approach. Students of all levels will gain a deep understanding of chemistry with this program. With Living By Chemistry, students learn chemistry in the same way that chemists work – by asking questions, collecting evidence, and thinking like scientists. Living By Chemistry is the product of a decade of research and development in high school classrooms, focusing on optimizing student understanding of chemical principles. Author Angelica Stacy assisted in the development of the NGSS standards and served on the AP® Chemistry redesign committee. She designed Living By Chemistry as an introduction for students who will take AP® Chemistry or additional college classes. The curriculum was developed with the belief that science is best learned through first-hand experience and discussion with peers. Guided inquiry allows students to actively participate in, and become adept at, scientific processes and communication. These skills are vital to a student’s further success in science as well as beneficial to other pursuits. Formal definitions and formulas are frequently introduced after students have explored, scrutinized, and developed a concept, providing more effective instruction. LBC’s innovative curriculum offers much more than traditional programs. To help engage students of all levels, the curriculum provides a variety of learning experiences through activities, discussions, games, demos, lectures, labs, and individual work. Teachers will save time with the new teacher’s edition because all components of a successful lesson, from warm-up to wrap-up are included in a familiar wrap around style.",True,1,STEM,0.702128439787141,0.0016558249556475,0.0950719495367632,0.0,0.0189762796504369,0.0704842630921873,0.0,0.011137394046915,0.1981667652276759,0.6045075234903738,"{'Anger': 0.0016558249556475, 'Anticipation': 0.0950719495367632, 'Disgust': 0.0, 'Fear': 0.0189762796504369, 'Joy': 0.0704842630921873, 'Sadness': 0.0, 'Surprise': 0.011137394046915, 'Trust': 0.1981667652276759}"
978-0-13-136906-1,"In Precalculus, the authors encourage graphical, numerical, and algebraic modeling of functions as well as a focus on problem solving, conceptual understanding, and facility with technology. They have created a book that is designed for instructors and written for students making this the most effective precalculus text available today.",True,1,STEM,0.6746356653507054,0.0,0.0327227742527634,0.0,0.0215491440201125,0.0368729797677481,0.0174787501496468,0.0,0.1331657288798435,0.7582106229298855,"{'Anger': 0.0, 'Anticipation': 0.0327227742527634, 'Disgust': 0.0, 'Fear': 0.0215491440201125, 'Joy': 0.0368729797677481, 'Sadness': 0.0174787501496468, 'Surprise': 0.0, 'Trust': 0.1331657288798435}"
0785439447,"Clear presentation of environmental issues Environmental Science presents complex issues in a user-friendly format to increase students' knowledge of scientific facts. The diversity of life, how living things interact with the environment, biomes, energy, water resources, pollution, feeding the world, and protecting biodiversity are all carefully presented in this appealing new text. Lexile Level 870 Reading Level 3-4 Interest Level 6-12 Written to meet national and state standards, Environmental Science helps students sharpen their critical-thinking skills as they interpret data, formulate hypotheses, observe and record information, analyze data, and draw conclusions. With a multitude of related activities and teacher support materials, the new Environmental Science text will provide students with a clear base of knowledge in this essential area of science.",True,1,STEM,0.6765129363919702,0.0093566242187403,0.0567191410150519,0.0083827463356303,0.0044255969624872,0.0579765529653965,0.0079142987462863,0.0071253343852858,0.1331007532144134,0.7149989521567081,"{'Anger': 0.0093566242187403, 'Anticipation': 0.0567191410150519, 'Disgust': 0.0083827463356303, 'Fear': 0.0044255969624872, 'Joy': 0.0579765529653965, 'Sadness': 0.0079142987462863, 'Surprise': 0.0071253343852858, 'Trust': 0.1331007532144134}"
9781118230725,"The 10th edition of Halliday's Fundamentals of Physics, Extended building upon previous issues by offering several new features and additions. The new edition offers most accurate, extensive and varied set of assessment questions of any course management program in addition to all questions including some form of question assistance including answer specific feedback to facilitate success. The text also offers multimedia presentations (videos and animations) of much of the material that provide an alternative pathway through the material for those who struggle with reading scientific exposition. Furthermore, the book includes math review content in both a self-study module for more in-depth review and also in just-in-time math videos for a quick refresher on a specific topic. The Halliday content is widely accepted as clear, correct, and complete. The end-of-chapters problems are without peer. The new design, which was introduced in 9e continues with 10e, making this new edition of Halliday the most accessible and reader-friendly book on the market. WileyPLUS sold separately from text.",True,1,STEM,0.6433939194759438,0.0053105474169688,0.0696877780860978,0.0,0.041738032131204,0.05100039231071,0.0182855065114009,0.0053009788630644,0.1101723296558191,0.6985044350247347,"{'Anger': 0.0053105474169688, 'Anticipation': 0.0696877780860978, 'Disgust': 0.0, 'Fear': 0.041738032131204, 'Joy': 0.05100039231071, 'Sadness': 0.0182855065114009, 'Surprise': 0.0053009788630644, 'Trust': 0.1101723296558191}"
9780030367694,"""An excellent resource for both teaching and learning. This book explains concepts in a clear fashion which allows students to better grasp the subject matter being learned""--Amazon.com.",True,0,STEM,0.6175004593063699,0.0,0.0407249779864983,0.0,0.0,0.1062518344584678,0.029791605518051,0.0091722923393014,0.3004109186968006,0.5136483710008806,"{'Anger': 0.0, 'Anticipation': 0.0407249779864983, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.1062518344584678, 'Sadness': 0.029791605518051, 'Surprise': 0.0091722923393014, 'Trust': 0.3004109186968006}"
0-07-825083-8,Glencoe Algebra 1 is a key program in our vertically aligned high school mathematics series developed to help all students achieve a better understanding of mathematics and improve their mathematics scores on today s high-stakes assessments.,True,1,STEM,0.6659863326701105,0.0175688932489075,0.0874431463479889,0.0,0.0478016587889057,0.0466422901988763,0.0,0.0275127084633907,0.1933470079372157,0.5796842950147151,"{'Anger': 0.0175688932489075, 'Anticipation': 0.0874431463479889, 'Disgust': 0.0, 'Fear': 0.0478016587889057, 'Joy': 0.0466422901988763, 'Sadness': 0.0, 'Surprise': 0.0275127084633907, 'Trust': 0.1933470079372157}"
9780321795465,"Normal 0 false false false Michael Sullivan s time-tested approach focuses students on the fundamental skills they need for the course: preparing for class, practicing with homework, and reviewing the concepts. The Enhanced with Graphing Utilities Serieshas evolved to meet today s course needs by integrating the usage of graphing calculator, active-learning, and technology in new ways to help students be successful in their course, as well as in their future endeavors. """,True,1,STEM,0.5496880077379406,0.0201957110139496,0.0667291276285654,0.0,0.0143243805954611,0.0462627524463876,0.0,0.0032479700187382,0.1413491567770143,0.7078909015198834,"{'Anger': 0.0201957110139496, 'Anticipation': 0.0667291276285654, 'Disgust': 0.0, 'Fear': 0.0143243805954611, 'Joy': 0.0462627524463876, 'Sadness': 0.0, 'Surprise': 0.0032479700187382, 'Trust': 0.1413491567770143}"
0-03-022484-5,"To accomplish your course goals, use this study guide to enhance your understanding of the text content and to be better prepared for quizzes and tests. This convenient manual helps you assimilate and master the information encountered in the text through the use of practice exercises and applications, comprehensive review tools, and additional helpful resources.",True,0,STEM,0.6429821004543049,0.0076335877862595,0.015267175572519,0.0,0.0179859876607759,0.1152009480985743,0.0,0.0054376241765136,0.1761999372581826,0.662274739447175,"{'Anger': 0.0076335877862595, 'Anticipation': 0.015267175572519, 'Disgust': 0.0, 'Fear': 0.0179859876607759, 'Joy': 0.1152009480985743, 'Sadness': 0.0, 'Surprise': 0.0054376241765136, 'Trust': 0.1761999372581826}"
0-618-56276-1,"Our high school chemistry program has been redesigned and updated to give your students the right balance of concepts and applications in a program that provides more active learning, more real-world connections, and more engaging content. A revised and enhanced text, designed especially for high school, helps students actively develop and apply their understanding of chemical concepts. Hands-on labs and activities emphasize cutting-edge applications and help students connect concepts to the real world. A new, captivating design, clear writing style, and innovative technology resources support your students in getting the most out of their textbook. - Publisher.",True,1,STEM,0.7394729256890781,0.0075028619164011,0.0583676247640852,0.0054453760712849,0.0293926549302311,0.0400977692521889,0.0065282633581881,0.0103957179542712,0.1615977228427338,0.6806720089106154,"{'Anger': 0.0075028619164011, 'Anticipation': 0.0583676247640852, 'Disgust': 0.0054453760712849, 'Fear': 0.0293926549302311, 'Joy': 0.0400977692521889, 'Sadness': 0.0065282633581881, 'Surprise': 0.0103957179542712, 'Trust': 0.1615977228427338}"
978-0-064603-02-7,An exciting new approach to learning about botany. Teaches the structure and function of plants and surveys the entire plant kingdom.,True,1,STEM,0.6154993213224755,0.0,0.1123808082336915,0.0,0.0,0.080596337218102,0.0,0.0603148176176782,0.1412895413954896,0.6054184955350386,"{'Anger': 0.0, 'Anticipation': 0.1123808082336915, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.080596337218102, 'Sadness': 0.0, 'Surprise': 0.0603148176176782, 'Trust': 0.1412895413954896}"
0-13-193719-7,"""Chemistry: The Central Science is the most trusted book on the market--its scientific accuracy, clarity, innovative pedagogy, functional problem-solving and visuals set this book apart. Brown, LeMay, and Bursten teach students the concepts and skills they need without overcomplicating the subject. A comprehensive media package that works in tandem with the text helps students practice and learn while providing instructors the tools they need to succeed.""--Publisher's description.",True,1,STEM,0.7226946895255156,0.0271250627366884,0.0313683442076926,0.0,0.0253228087785737,0.0551170324405712,0.0317333576675639,0.0149655518547246,0.1527809462973947,0.6615868960167905,"{'Anger': 0.0271250627366884, 'Anticipation': 0.0313683442076926, 'Disgust': 0.0, 'Fear': 0.0253228087785737, 'Joy': 0.0551170324405712, 'Sadness': 0.0317333576675639, 'Surprise': 0.0149655518547246, 'Trust': 0.1527809462973947}"
9780133669510,"Miller & Levine Biology Curriculum - High School The respected author team of Ken Miller and Joe Levine are back with a new edition of biology books to inspire students to interact with trusted and up-to-date biology content. The authors' unique storytelling style engages students in biology, with a greater focus on written and visual analogies.",True,1,STEM,0.695306405043879,0.0019217277247353,0.0486532654119513,0.0,0.0,0.0769301162187719,0.0,0.0257450507885184,0.1756703169325565,0.6710795229234664,"{'Anger': 0.0019217277247353, 'Anticipation': 0.0486532654119513, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0769301162187719, 'Sadness': 0.0, 'Surprise': 0.0257450507885184, 'Trust': 0.1756703169325565}"
978-1-559539-84-5,"Changes in society and the workplace require a careful analysis of the algebra curriculum that we teach. The curriculum, teaching, and learning of yesterday do not meet the needs of today's students.",True,1,STEM,0.6219751301347961,0.076750700280112,0.0,0.0,0.0138655462184873,0.0296918767507002,0.0,0.0175070028011204,0.1619047619047619,0.7002801120448179,"{'Anger': 0.076750700280112, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0138655462184873, 'Joy': 0.0296918767507002, 'Sadness': 0.0, 'Surprise': 0.0175070028011204, 'Trust': 0.1619047619047619}"
